	Ref	POS	Morpheme	MorTag	Line
18	<CA Jn 18:32>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	ei waurd fraujins usfullnodedi , þatei qaþ , bandwjands ƕileikamma dauþau ▶skulda◀ gaswiltan . 
19	<CA Jn 18:32>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	ei waurd fraujins usfullnodedi , þatei qaþ , bandwjands ƕileikamma dauþau ▶skulda◀ gaswiltan . 
20	<CA Jn 18:32>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	ei waurd fraujins usfullnodedi , þatei qaþ , bandwjands ƕileikamma dauþau ▶skulda◀ gaswiltan . 
21	<CA Jn 19:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	andhofun imma Iudaieis : weis witoþ aihum , jah bi þamma witoda unsaramma ▶skal◀ gaswiltan , unte sik silban gudis sunu gatawida . 
22	<CA Jn 19:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	andhofun imma Iudaieis : weis witoþ aihum , jah bi þamma witoda unsaramma ▶skal◀ gaswiltan , unte sik silban gudis sunu gatawida . 
23	<CA Lk 1:66>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	jah galagidedun allai þai hausjandans in hairtin seinamma qiþandans : ƕa ▶skuli◀ þata barn wairþan ? jah þan handus fraujins was miþ imma . 
24	<CA Lk 2:49>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	jah qaþ du im : ƕa þatei sokideduþ mik ? niu wisseduþ þatei in þaim attins meinis ▶skulda◀ wisan ? 
25	<CA Lk 2:49>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	jah qaþ du im : ƕa þatei sokideduþ mik ? niu wisseduþ þatei in þaim attins meinis ▶skulda◀ wisan ? 
26	<CA Lk 2:49>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	jah qaþ du im : ƕa þatei sokideduþ mik ? niu wisseduþ þatei in þaim attins meinis ▶skulda◀ wisan ? 
27	<CA Lk 2:49>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jah qaþ du im : ƕa þatei sokideduþ mik ? niu wisseduþ þatei in þaim attins meinis ▶skulda◀ wisan ? 
28	<CA Lk 2:49>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	jah qaþ du im : ƕa þatei sokideduþ mik ? niu wisseduþ þatei in þaim attins meinis ▶skulda◀ wisan ? 
29	<CA Lk 2:49>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	jah qaþ du im : ƕa þatei sokideduþ mik ? niu wisseduþ þatei in þaim attins meinis ▶skulda◀ wisan ? 
30	<CA Lk 2:49>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	jah qaþ du im : ƕa þatei sokideduþ mik ? niu wisseduþ þatei in þaim attins meinis ▶skulda◀ wisan ? 
31	<CA Lk 4:43>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	þaruh is qaþ du im þatei jah þaim anþaraim baurgim wailamerjan ik ▶skal◀ bi þiudangardja gudis , unte duþe mik insandida . 
32	<CA Lk 4:43>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	þaruh is qaþ du im þatei jah þaim anþaraim baurgim wailamerjan ik ▶skal◀ bi þiudangardja gudis , unte duþe mik insandida . 
33	<CA Lk 6:2>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	iþ sumai Fareisaie qeþun du im : ƕa taujid þatei ni ▶skuld◀ ist taujan in sabbato dagam ? 
34	<CA Lk 6:2>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	iþ sumai Fareisaie qeþun du im : ƕa taujid þatei ni ▶skuld◀ ist taujan in sabbato dagam ? 
35	<CA Lk 6:4>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	ƕaiwa inngalaiþ in gard gudis jah hlaibans faurlageinais usnam jah matida jah gaf þaim miþ sis wisandam , þanzei ni ▶skuld◀ ist matjan , nibai ainaim gudjam ? 
36	<CA Lk 6:4>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	ƕaiwa inngalaiþ in gard gudis jah hlaibans faurlageinais usnam jah matida jah gaf þaim miþ sis wisandam , þanzei ni ▶skuld◀ ist matjan , nibai ainaim gudjam ? 
37	<CA Lk 6:9>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	qaþ þan Iesus du im : fraihna izwis ƕa ▶skuld◀ ist sabbato dagam , þiuþ taujan þau unþiuþ taujan , saiwala ganasjan þau usqistjan ? 
38	<CA Lk 6:9>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	qaþ þan Iesus du im : fraihna izwis ƕa ▶skuld◀ ist sabbato dagam , þiuþ taujan þau unþiuþ taujan , saiwala ganasjan þau usqistjan ? 
39	<CA Lk 7:40>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah andhafjands Iesus qaþ du Paitrau : Seimon , ▶skal◀ þus ƕa qiþan . iþ is qaþ : laisari , qiþ ! 
40	<CA Lk 7:40>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah andhafjands Iesus qaþ du Paitrau : Seimon , ▶skal◀ þus ƕa qiþan . iþ is qaþ : laisari , qiþ ! 
41	<CA Lk 7:41>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	twai dulgis skulans wesun dulgahaitjin sumamma ; ains ▶skulda◀ skatte fimf hunda , iþ anþar fimf tiguns . 
42	<CA Lk 7:41>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	twai dulgis skulans wesun dulgahaitjin sumamma ; ains ▶skulda◀ skatte fimf hunda , iþ anþar fimf tiguns . 
43	<CA Lk 7:41>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	twai dulgis skulans wesun dulgahaitjin sumamma ; ains ▶skulda◀ skatte fimf hunda , iþ anþar fimf tiguns . 
44	<CA Lk 7:41>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	twai dulgis skulans wesun dulgahaitjin sumamma ; ains ▶skulda◀ skatte fimf hunda , iþ anþar fimf tiguns . 
45	<CA Lk 7:41>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	twai dulgis skulans wesun dulgahaitjin sumamma ; ains ▶skulda◀ skatte fimf hunda , iþ anþar fimf tiguns . 
46	<CA Lk 7:41>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	twai dulgis skulans wesun dulgahaitjin sumamma ; ains ▶skulda◀ skatte fimf hunda , iþ anþar fimf tiguns . 
47	<CA Lk 7:41>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	twai dulgis skulans wesun dulgahaitjin sumamma ; ains ▶skulda◀ skatte fimf hunda , iþ anþar fimf tiguns . 
48	<CA Lk 9:22>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	qiþands þatei ▶skal◀ sunus mans manag winnan jah uskusans fram sinistam wairþan jah gudjam jah bokarjam jah usqiman jah þridjin daga urreisan . 
49	<CA Lk 9:22>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	qiþands þatei ▶skal◀ sunus mans manag winnan jah uskusans fram sinistam wairþan jah gudjam jah bokarjam jah usqiman jah þridjin daga urreisan . 
50	<CA Lk 9:31>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	þai gasaiƕanans in wulþau qeþun urruns is , þoei ▶skulda◀ usfulljan in Iairusalem . 
51	<CA Lk 9:44>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	lagjiþ jus in ausona izwara þo waurda , unte sunus mans ▶skulds◀ ist atgiban in handuns manne . 
52	<CA Lk 15:32>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	waila wisan jah faginon ▶skuld◀ was , unte broþar þeins dauþs was jah gaqiunoda , jah fralusans jah bigitans warþ . 
53	<CA Lk 15:32>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	waila wisan jah faginon ▶skuld◀ was , unte broþar þeins dauþs was jah gaqiunoda , jah fralusans jah bigitans warþ . 
54	<CA Lk 16:5>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	jah athaitands ainƕarjanoh faihuskulane fraujins seinis qaþ þamma frumistin : ƕan filu ▶skalt◀ fraujin meinamma ? 
55	<CA Lk 16:7>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-2	þaþroh þan du anþaramma qaþ : aþþan þu , ƕan filu ▶skalt◀ ? iþ is qaþ : taihuntaihund mitade kaurnis . jah qaþ du imma : nim þus bokos jah melei ahtautehund . 
56	<CA Lk 17:10>	Verb	V.prt.-prs.	ACT-IND-PRET-PLUR-1	swa jah jus , þan taujaiþ alla þo anabudanona izwis , qiþaiþ þatei skalkos unbrukjai sijum , unte þatei ▶skuldedum◀ taujan gatawidedum . 
57	<CA Lk 17:25>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	aþþan faurþis ▶skal◀ manag gaþulan jah uskiusada fram þamma kunja . 
58	<CA Lk 17:25>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	aþþan faurþis ▶skal◀ manag gaþulan jah uskiusada fram þamma kunja . 
59	<CA Lk 18:1>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-3	Qaþuþ~þan jah gajukon im du þammei sinteino ▶skulun◀ bidjan jah ni wairþan usgrudjans , 
60	<CA Lk 19:5>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah biþe qam ana þamma stada , insaiƕands iup Iesus gasaƕ ina jah qaþ du imma : Zakkaiu , sniumjands dalaþ atsteig : himma daga auk in garda þeinamma ▶skal◀ ik wisan . 
61	<CA Lk 19:5>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah biþe qam ana þamma stada , insaiƕands iup Iesus gasaƕ ina jah qaþ du imma : Zakkaiu , sniumjands dalaþ atsteig : himma daga auk in garda þeinamma ▶skal◀ ik wisan . 
62	<CA Lk 19:11>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	at gahausjandam þan im þata , biaukands qaþ gajukon , bi þatei neƕa Iairusalem was , jah þuhta im ei suns ▶skulda◀ wesi þiudangardi gudis gaswikunþjan . 
63	<CA Lk 19:11>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	at gahausjandam þan im þata , biaukands qaþ gajukon , bi þatei neƕa Iairusalem was , jah þuhta im ei suns ▶skulda◀ wesi þiudangardi gudis gaswikunþjan . 
64	<CA Lk 19:11>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	at gahausjandam þan im þata , biaukands qaþ gajukon , bi þatei neƕa Iairusalem was , jah þuhta im ei suns ▶skulda◀ wesi þiudangardi gudis gaswikunþjan . 
65	<CA Lk 19:11>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	at gahausjandam þan im þata , biaukands qaþ gajukon , bi þatei neƕa Iairusalem was , jah þuhta im ei suns ▶skulda◀ wesi þiudangardi gudis gaswikunþjan . 
66	<CA Lk 19:11>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	at gahausjandam þan im þata , biaukands qaþ gajukon , bi þatei neƕa Iairusalem was , jah þuhta im ei suns ▶skulda◀ wesi þiudangardi gudis gaswikunþjan . 
67	<CA Lk 19:11>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	at gahausjandam þan im þata , biaukands qaþ gajukon , bi þatei neƕa Iairusalem was , jah þuhta im ei suns ▶skulda◀ wesi þiudangardi gudis gaswikunþjan . 
68	<CA Lk 19:11>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	at gahausjandam þan im þata , biaukands qaþ gajukon , bi þatei neƕa Iairusalem was , jah þuhta im ei suns ▶skulda◀ wesi þiudangardi gudis gaswikunþjan . 
69	<CA Mk 2:24>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	jah Fareisaieis qeþun du imma : sai , ƕa taujand siponjos þeinai sabbatim þatei ni ▶skuld◀ ist ? 
70	<CA Mk 2:24>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	jah Fareisaieis qeþun du imma : sai , ƕa taujand siponjos þeinai sabbatim þatei ni ▶skuld◀ ist ? 
71	<CA Mk 2:26>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	ƕaiwa galaiþ in gard gudis uf Abiaþara gudjin jah hlaibans faurlageinais matida , þanzei ni ▶skuld◀ ist matjan niba ainaim gudjam , jah gaf jah þaim miþ sis wisandam ? 
72	<CA Mk 2:26>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	ƕaiwa galaiþ in gard gudis uf Abiaþara gudjin jah hlaibans faurlageinais matida , þanzei ni ▶skuld◀ ist matjan niba ainaim gudjam , jah gaf jah þaim miþ sis wisandam ? 
73	<CA Mk 6:18>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	qaþ auk Iohannes du Heroda þatei ni ▶skuld◀ ist þus haban qen broþrs þeinis . 
74	<CA Mk 6:18>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	qaþ auk Iohannes du Heroda þatei ni ▶skuld◀ ist þus haban qen broþrs þeinis . 
75	<CA Mk 8:31>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	jah dugann laisjan ins þatei ▶skal◀ sunus mans filu winnan jah uskiusan skulds ist fram þaim sinistam jah þaim auhumistam gudjam jah bokarjam jah usqiman jah afar þrins dagans usstandan . 
76	<CA Mk 8:31>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	jah dugann laisjan ins þatei ▶skal◀ sunus mans filu winnan jah uskiusan skulds ist fram þaim sinistam jah þaim auhumistam gudjam jah bokarjam jah usqiman jah afar þrins dagans usstandan . 
77	<CA Mk 8:31>	Verb	V.prt.-prs.	STRONG-MASC-NOM-SING	jah dugann laisjan ins þatei skal sunus mans filu winnan jah uskiusan ▶skulds◀ ist fram þaim sinistam jah þaim auhumistam gudjam jah bokarjam jah usqiman jah afar þrins dagans usstandan . 
78	<CA Mk 9:11>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	jah frehun ina qiþandans : unte qiþand þai bokarjos þatei Helias ▶skuli◀ qiman faurþis ? 
79	<CA Mk 14:64>	Verb	V.prt.-prs.	INF	hausideduþ þo wajamerein is : ƕa izwis þugkeiþ ? þaruh eis allai gadomidedun ina ▶skulan◀ wisan dauþau . 
80	<Car Rom 12:3>	Verb	V.prt.-prs.	ACT-OPT-PRES-SING-3	qiþa auk þairh anst gudis sei gibana ist mis , allaim wisandam in izwis , ni mais fraþjan þau ▶skuli◀ fraþjan , ak fraþjan du waila fraþjan , ƕarjammeh swaswe guþ gadailida mitaþ galaubeinais . 
81	<A Rom 13:7>	Verb	V.prt.-prs.	WEAK-NEUT-ACC-SING	usgibiþ nu allaim ▶skuldo◀ : þammei gabaur gabaur , þammei mota mota , þammei agis agis , þammei sweriþa sweriþa . 
82	<A Rom 13:7>	Verb	V.prt.-prs.	WEAK-NEUT-NOM-SING	usgibiþ nu allaim ▶skuldo◀ : þammei gabaur gabaur , þammei mota mota , þammei agis agis , þammei sweriþa sweriþa . 
83	<A Rom 13:7>	Verb	V.prt.-prs.	WEAK-FEM-NOM-SING	usgibiþ nu allaim ▶skuldo◀ : þammei gabaur gabaur , þammei mota mota , þammei agis agis , þammei sweriþa sweriþa . 
84	<A 1Cor 5:10>	Verb	V.prt.-prs.	ACT-OPT-PRET-PLUR-2	ni þaim horam þis fairƕaus , aiþþau jabai þaim faihufrikam jah wilwam aiþþau galiugam skalkinondam , unte ▶skuldedeiþ◀ þan us þamma fairƕau usgaggan . 
85	<A 1Cor 15:2>	Verb	V.prt.-prs.	ACT-IND-PRES-PLUR-2	þairh þatei jah ganisiþ : in ƕo sauþo wailamerida izwis , ▶skuluþ◀ gamunan , niba sware galaubideduþ . 
86	<A 1Cor 15:25>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-1	▶skal◀ auk is þiudanon und þatei galagjiþ guþ allans fijands is uf fotuns imma . 
87	<A 1Cor 15:25>	Verb	V.prt.-prs.	ACT-IND-PRES-SING-3	▶skal◀ auk is þiudanon und þatei galagjiþ guþ allans fijands is uf fotuns imma . 
88	<A 1Cor 15:53>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	▶skuld◀ auk ist þata riurjo gahamon unriurein , jah þata diwano gahamon undiwanein . 
89	<A 1Cor 15:53>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	▶skuld◀ auk ist þata riurjo gahamon unriurein , jah þata diwano gahamon undiwanein . 
90	<B 1Cor 15:53>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	▶skuld◀ ist auk þata riurjo ga(unclear)ham(/unclear)on unriurein , jah þata diwano gahamon undiwanein . 
91	<B 1Cor 15:53>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	▶skuld◀ ist auk þata riurjo ga(unclear)ham(/unclear)on unriurein , jah þata diwano gahamon undiwanein . 
92	<A 2Cor 2:3>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	jaþ~þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ faginon , gatrauands in allaim izwis þatei meina faheþs allaize izwara ist . 
93	<A 2Cor 2:3>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	jaþ~þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ faginon , gatrauands in allaim izwis þatei meina faheþs allaize izwara ist . 
94	<A 2Cor 2:3>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	jaþ~þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ faginon , gatrauands in allaim izwis þatei meina faheþs allaize izwara ist . 
95	<A 2Cor 2:3>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jaþ~þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ faginon , gatrauands in allaim izwis þatei meina faheþs allaize izwara ist . 
96	<A 2Cor 2:3>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	jaþ~þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ faginon , gatrauands in allaim izwis þatei meina faheþs allaize izwara ist . 
97	<A 2Cor 2:3>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	jaþ~þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ faginon , gatrauands in allaim izwis þatei meina faheþs allaize izwara ist . 
98	<A 2Cor 2:3>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	jaþ~þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ faginon , gatrauands in allaim izwis þatei meina faheþs allaize izwara ist . 
99	<B 2Cor 2:3>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	jah þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ fa(unclear)gi(/unclear)non , gatrauands in allaim izwis þatei meina faheds allaize izwara ist . 
100	<B 2Cor 2:3>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	jah þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ fa(unclear)gi(/unclear)non , gatrauands in allaim izwis þatei meina faheds allaize izwara ist . 
101	<B 2Cor 2:3>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	jah þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ fa(unclear)gi(/unclear)non , gatrauands in allaim izwis þatei meina faheds allaize izwara ist . 
102	<B 2Cor 2:3>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	jah þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ fa(unclear)gi(/unclear)non , gatrauands in allaim izwis þatei meina faheds allaize izwara ist . 
103	<B 2Cor 2:3>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	jah þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ fa(unclear)gi(/unclear)non , gatrauands in allaim izwis þatei meina faheds allaize izwara ist . 
104	<B 2Cor 2:3>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	jah þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ fa(unclear)gi(/unclear)non , gatrauands in allaim izwis þatei meina faheds allaize izwara ist . 
105	<B 2Cor 2:3>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	jah þata silbo gamelida izwis , ei qimands saurga ni habau fram þaimei ▶skulda◀ fa(unclear)gi(/unclear)non , gatrauands in allaim izwis þatei meina faheds allaize izwara ist . 
106	<A 2Cor 5:10>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	unte allai weis ataugjan ▶skuldai◀ sijum faura stauastola Xristaus , ei ganimai ƕarjizuh þo swesona leikis , afar þaimei gatawida , jaþþe þiuþ jaþþe unþiuþ . 
107	<A 2Cor 5:10>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	unte allai weis ataugjan ▶skuldai◀ sijum faura stauastola Xristaus , ei ganimai ƕarjizuh þo swesona leikis , afar þaimei gatawida , jaþþe þiuþ jaþþe unþiuþ . 
108	<B 2Cor 5:10>	Verb	V.prt.-prs.	STRONG-FEM-DAT-SING	unte allai weis ataugjan ▶skuldai◀ sijum faura stauastola Xristaus , ei ganimai ƕarjizuh þo swesona leikis , afar þaimei gatawida , jaþþe þiuþ jaþþe unþiuþ . 
109	<B 2Cor 5:10>	Verb	V.prt.-prs.	STRONG-MASC-NOM-PLUR	unte allai weis ataugjan ▶skuldai◀ sijum faura stauastola Xristaus , ei ganimai ƕarjizuh þo swesona leikis , afar þaimei gatawida , jaþþe þiuþ jaþþe unþiuþ . 
110	<B 2Cor 11:30>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-SING	jabai ƕopan ▶skuld◀ sijai , þaim siukeins meinaizos ƕopau . 
111	<B 2Cor 11:30>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-SING	jabai ƕopan ▶skuld◀ sijai , þaim siukeins meinaizos ƕopau . 
112	<A 2Cor 12:4>	Verb	V.prt.-prs.	STRONG-FEM-NOM-SING	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
113	<A 2Cor 12:4>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-1	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
114	<A 2Cor 12:4>	Verb	V.prt.-prs.	STRONG-FEM-ACC-SING	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
115	<A 2Cor 12:4>	Verb	V.prt.-prs.	WEAK-MASC-NOM-SING	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
116	<A 2Cor 12:4>	Verb	V.prt.-prs.	ACT-IND-PRET-SING-3	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
117	<A 2Cor 12:4>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
118	<A 2Cor 12:4>	Verb	V.prt.-prs.	STRONG-NEUT-NOM-PLUR	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
119	<B 2Cor 12:4>	Verb	V.prt.-prs.	STRONG-NEUT-ACC-PLUR	þatei frawulwans warþ in wagg jah hausida unqeþja waurda , þoei ni ▶skulda◀ sind mann rodjan . 
